;Jmeno;Tym;image_path
0;Aaron Irving;HC Sparta Praha;/mount/src/hokejove_karty/Karty/Aaron Irving HC Sparta Praha.png
1;Adam Benák;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Adam Benak HC Skoda Plzen.png
2;Adam Jánošík;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Adam Janosik BK Mlada Boleslav.png
3;Adam Jiříček;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Adam Jiricek HC Skoda Plzen.png
4;Adam Kubík;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Adam Kubik Banes Motor C. Budejovice.png
5;Adam Musil;HC Dynamo Pardubice;/mount/src/hokejove_karty/Karty/Adam Musil HC Dynamo Pardubice.png
6;Adam Najman;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Adam Najman Bili Tygri Liberec.png
7;Adam Polášek;HC Oceláři Třinec;/mount/src/hokejove_karty/Karty/Adam Polasek HC Ocelari Trinec.png
8;Adam Rulík;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Adam Rulik HC Energie Karlovy Vary.png
9;Adam Rutar;HC Olomouc;/mount/src/hokejove_karty/Karty/Adam Rutar HC Olomouc.png
10;Adam Smith;HC Oceláři Třinec;/mount/src/hokejove_karty/Karty/Adam Smith HC Ocelari Trinec.png
11;Adam Zbořil;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Adam Zboril HC Kometa Brno.png
12;Adrián Holešinský;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Adrian Holesinsky HC Skoda Plzen.png
13;Aleksi Laakso;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Aleksi Laakso HC Skoda Plzen.png
14;Aleksi Rekonen;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Aleksi Rekonen HC Skoda Plzen.png
15;Aleš Čech;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Ales Cech BK Mlada Boleslav.png
16;Aleš Jergl;Mountfield HK;/mount/src/hokejove_karty/Karty/Ales Jergl Mountfield HK.png
17;Alex Lintuniemi;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Alex Lintuniemi BK Mlada Boleslav.png
18;Alex Rašner;HC Olomouc;/mount/src/hokejove_karty/Karty/Alex Rasner HC Olomouc.png
19;Alex Tamáši;Mountfield HK;/mount/src/hokejove_karty/Karty/Alex Tamasi Mountfield HK.png
20;Andrej Kollár;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Andrej Kollar HC Kometa Brno.png
21;Andrej Kudrna;HC VERVA Litvínov;/mount/src/hokejove_karty/Karty/Andrej Kudrna HC VERVA Litvinov.png
22;Andrej Nestrašil;HC Oceláři Třinec;/mount/src/hokejove_karty/Karty/Andrej Nestrasil HC Ocelari Trinec.png
23;Antonín Melka;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Antonin Melka Rytiri Kladno.png
24;Aron Chmielewski;HC Olomouc;/mount/src/hokejove_karty/Karty/Aron Chmielewski HC Olomouc.png
25;Bohumil Jank;Mountfield HK;/mount/src/hokejove_karty/Karty/Bohumil Jank Mountfield HK.png
26;Brant Harris;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Brant Harris Banes Motor C. Budejovice.png
27;Dalibor Řezníček;HC Olomouc;/mount/src/hokejove_karty/Karty/Dalibor Reznicek HC Olomouc.png
28;Dalimil Mikyska;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Dalimil Mikyska HC Energie Karlovy Vary.png
29;Daniel Gazda;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Daniel Gazda HC Kometa Brno.png
30;Daniel Kružík;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Daniel Kruzik HC Energie Karlovy Vary.png
31;Daniel Kurovský;HC Oceláři Třinec;/mount/src/hokejove_karty/Karty/Daniel Kurovsky HC Ocelari Trinec.png
32;Daniel Malák;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Daniel Malak HC Skoda Plzen.png
33;Daniel Voženílek;HC Oceláři Třinec;/mount/src/hokejove_karty/Karty/Daniel Vozenilek HC Ocelari Trinec.png
34;David Bernad;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/David Bernad BK Mlada Boleslav.png
